Experiment,Form,Precision,Recall,F1-Score,Support
ABLATE_normalized_collection,gazel,0.5161290322580645,0.8,0.6274509803921569,20.0
ABLATE_normalized_collection,hrdinský kuplet,0.8064516129032258,1.0,0.8928571428571429,50.0
ABLATE_normalized_collection,limerik,1.0,1.0,1.0,2.0
ABLATE_normalized_collection,rondel,1.0,0.6363636363636364,0.7777777777777778,11.0
ABLATE_normalized_collection,sapfická strofa,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
ABLATE_normalized_collection,sonet,1.0,1.0,1.0,1135.0
ABLATE_normalized_collection,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_normalized_collection,stance,0.9777777777777777,0.9361702127659575,0.9565217391304348,47.0
ABLATE_normalized_collection,tercína,1.0,1.0,1.0,16.0
ABLATE_normalized_collection,unfixed,0.9858215179316097,0.9776674937965261,0.9817275747508306,1209.0
ABLATE_author,gazel,0.6153846153846154,0.8,0.6956521739130435,20.0
ABLATE_author,hrdinský kuplet,0.8448275862068966,0.98,0.9074074074074074,50.0
ABLATE_author,limerik,1.0,1.0,1.0,2.0
ABLATE_author,rondel,1.0,0.6363636363636364,0.7777777777777778,11.0
ABLATE_author,sapfická strofa,0.7727272727272727,0.8947368421052632,0.8292682926829268,19.0
ABLATE_author,sonet,1.0,1.0,1.0,1135.0
ABLATE_author,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_author,stance,1.0,0.9574468085106383,0.9782608695652174,47.0
ABLATE_author,tercína,1.0,1.0,1.0,16.0
ABLATE_author,unfixed,0.9858921161825727,0.9826302729528535,0.9842584921292461,1209.0
TEXT_ONLY,gazel,0.6071428571428571,0.85,0.7083333333333334,20.0
TEXT_ONLY,hrdinský kuplet,0.17365269461077845,0.58,0.2672811059907834,50.0
TEXT_ONLY,limerik,0.043478260869565216,0.5,0.08,2.0
TEXT_ONLY,rondel,0.20454545454545456,0.8181818181818182,0.32727272727272727,11.0
TEXT_ONLY,sapfická strofa,0.24074074074074073,0.6842105263157895,0.3561643835616438,19.0
TEXT_ONLY,sonet,0.9651162790697675,0.6581497797356828,0.782608695652174,1135.0
TEXT_ONLY,sonet anglický,0.0,0.0,0.0,7.0
TEXT_ONLY,stance,0.5223880597014925,0.7446808510638298,0.6140350877192983,47.0
TEXT_ONLY,tercína,0.16666666666666666,0.25,0.2,16.0
TEXT_ONLY,unfixed,0.7582831325301205,0.8329197684036393,0.7938510051241624,1209.0
WITHOUT_TEXT,gazel,0.4473684210526316,0.85,0.5862068965517241,20.0
WITHOUT_TEXT,hrdinský kuplet,0.8064516129032258,1.0,0.8928571428571429,50.0
WITHOUT_TEXT,limerik,1.0,1.0,1.0,2.0
WITHOUT_TEXT,rondel,1.0,0.8181818181818182,0.9,11.0
WITHOUT_TEXT,sapfická strofa,0.48484848484848486,0.8421052631578947,0.6153846153846154,19.0
WITHOUT_TEXT,sonet,1.0,1.0,1.0,1135.0
WITHOUT_TEXT,sonet anglický,1.0,0.14285714285714285,0.25,7.0
WITHOUT_TEXT,stance,0.8653846153846154,0.9574468085106383,0.9090909090909091,47.0
WITHOUT_TEXT,tercína,1.0,1.0,1.0,16.0
WITHOUT_TEXT,unfixed,0.9888698630136986,0.9553349875930521,0.9718132099284813,1209.0
WITHOUT_NUMERIC,gazel,0.8947368421052632,0.85,0.8717948717948718,20.0
WITHOUT_NUMERIC,hrdinský kuplet,0.8448275862068966,0.98,0.9074074074074074,50.0
WITHOUT_NUMERIC,limerik,1.0,1.0,1.0,2.0
WITHOUT_NUMERIC,rondel,1.0,0.7272727272727273,0.8421052631578947,11.0
WITHOUT_NUMERIC,sapfická strofa,0.8260869565217391,1.0,0.9047619047619048,19.0
WITHOUT_NUMERIC,sonet,1.0,1.0,1.0,1135.0
WITHOUT_NUMERIC,sonet anglický,0.0,0.0,0.0,7.0
WITHOUT_NUMERIC,stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
WITHOUT_NUMERIC,tercína,1.0,1.0,1.0,16.0
WITHOUT_NUMERIC,unfixed,0.9892384105960265,0.9884201819685691,0.9888291270169631,1209.0
WITHOUT_CATEGORICAL,gazel,0.5151515151515151,0.85,0.6415094339622641,20.0
WITHOUT_CATEGORICAL,hrdinský kuplet,0.15609756097560976,0.64,0.25098039215686274,50.0
WITHOUT_CATEGORICAL,limerik,0.041666666666666664,0.5,0.07692307692307693,2.0
WITHOUT_CATEGORICAL,rondel,0.34615384615384615,0.8181818181818182,0.4864864864864865,11.0
WITHOUT_CATEGORICAL,sapfická strofa,0.24489795918367346,0.631578947368421,0.35294117647058826,19.0
WITHOUT_CATEGORICAL,sonet,0.9449003516998827,0.7101321585903083,0.8108651911468813,1135.0
WITHOUT_CATEGORICAL,sonet anglický,0.0,0.0,0.0,7.0
WITHOUT_CATEGORICAL,stance,0.5454545454545454,0.7659574468085106,0.6371681415929203,47.0
WITHOUT_CATEGORICAL,tercína,0.21052631578947367,0.25,0.22857142857142856,16.0
WITHOUT_CATEGORICAL,unfixed,0.8069748580697486,0.8229942100909843,0.8149058149058149,1209.0
NUMERIC_ONLY,gazel,0.029411764705882353,0.35,0.05426356589147287,20.0
NUMERIC_ONLY,hrdinský kuplet,0.13636363636363635,0.12,0.1276595744680851,50.0
NUMERIC_ONLY,limerik,0.01092896174863388,1.0,0.021621621621621623,2.0
NUMERIC_ONLY,rondel,0.0136986301369863,0.36363636363636365,0.026402640264026403,11.0
NUMERIC_ONLY,sapfická strofa,0.12037037037037036,0.6842105263157895,0.2047244094488189,19.0
NUMERIC_ONLY,sonet,0.656891495601173,0.1973568281938326,0.3035230352303523,1135.0
NUMERIC_ONLY,sonet anglický,0.0024271844660194173,0.14285714285714285,0.00477326968973747,7.0
NUMERIC_ONLY,stance,0.10285714285714286,0.3829787234042553,0.16216216216216217,47.0
NUMERIC_ONLY,tercína,0.015384615384615385,0.4375,0.029723991507430998,16.0
NUMERIC_ONLY,unfixed,0.9925373134328358,0.22001654259718775,0.36018957345971564,1209.0
CATEGORICAL_ONLY,gazel,0.5,0.8,0.6153846153846154,20.0
CATEGORICAL_ONLY,hrdinský kuplet,0.8333333333333334,1.0,0.9090909090909091,50.0
CATEGORICAL_ONLY,limerik,1.0,1.0,1.0,2.0
CATEGORICAL_ONLY,rondel,1.0,0.8181818181818182,0.9,11.0
CATEGORICAL_ONLY,sapfická strofa,0.6153846153846154,0.8421052631578947,0.7111111111111111,19.0
CATEGORICAL_ONLY,sonet,1.0,1.0,1.0,1135.0
CATEGORICAL_ONLY,sonet anglický,1.0,0.14285714285714285,0.25,7.0
CATEGORICAL_ONLY,stance,0.8490566037735849,0.9574468085106383,0.9,47.0
CATEGORICAL_ONLY,tercína,1.0,1.0,1.0,16.0
CATEGORICAL_ONLY,unfixed,0.9873096446700508,0.9652605459057072,0.9761606022584692,1209.0
